tweet,tag
﻿#سعوديات_نطلب_اسقاط_الولايه692 يجب أن تسقط الولاية، رغم أن سقوطها وحده لا يكفي يحب أن يوفر الدعم للمرأة في التعليم و العمل و تكوين أسرة , pos
اصلا هذاتصرف في قمه الجهل في أوراق رسميه وشهاده ميلاد وبطاقه عايله وكل هل أوراق ومصدقه ومزكيه ياربي تريحني ونقدر نعيش من هل تخلف انا مع إسقاط الولايه, pos
#سامي_الجابر نحن معك اذا كنت مع اسقاط الولايه , pos
اسقاط الولايه ماراح يأثر فيني بشكل كبير لاني مو متضرره من الولايه، لكن بتفرق مع ناس كثير اعرفهم ، لذلك اتمنى اسقاط الولايه اليوم قبل بكره, pos
انا #نسوية و #عنصرية مع المساواة وضد فكرة البنت ماتشيل شعر جسمها، متحيزة جداً لبني جنسي واعتقد ان المرأة تطبخ لزوجها شي لطيف،مع مشاركة الرجل مصاريف العائلة و مع مشاركته ايضا قرارات هالعائلة، أؤيد اسقاط الولاية وضد السفر دون علم الأهل، أبغض اللي تطالب بالحريات قبل تفكر تتحرر ماديا , pos
نا مع اسقاط الولاية 100000000% لكن في دي المرحلة حتى لو سقطت العنف حيظل موجود,pos
تصريح خطير احب اقول لكم من اليوم ورايح انا مع #اسقاط_الولاية,pos
انا مع اسقاط الولايه،المرأة ليست ضلع قاصر او اعوج احيان تكون اكثر قوة وعقل من الرجل المتحجر فكرياً , pos
بقاء الولاية يعني بان وجود المرأة ليست كافياً لتحصل على حقوقها المدنيه أليست هي مواطنة ليس عدلاً جعل وسيط بينها وبين حقوقها المدنيه يجب أن تتم معاملتنا مباشرة مع الجهات الحكوميه اسقطوا الولاية | #سعوديات_نطلب_اسقاط_الولايه1070 , pos
والله ياجماعه انا صرت مع اسقاط الولايه لحد يسألني ليه الأسباب واضحه , pos
جميع الدوائر الحكومية لا تخدم المرأة فقط لانها امرأة يعاملونها معاملة الطفل لابد من احضار ولي امرها #سعوديات_نطلب_اسقاط_الولايه671 #نعم_لاسقاط_الولايه , pos
حتى وإن لم يكن هناك حالات تعنيف وتسلّط لنفرض ذلك أليس من حقّنا أن نكون مستقلّين وتُثبت أهليّتنا لأننا بالغين عاقلين لا ينقصنا شيء مثلنا مثل الرجل لماذا لا زلنا نتحدّث ونبرر لهم ونثبت لهم أنه من حقنا ذلك ولا نحتاج وصاية. #نعم_لاسقاط_الولايه , pos
#سعوديات_نطلب_اسقاط_الولايه #نعم_لاسقاط_الولايه دائما القبيح لا يرى الا قُبحاً(لذلك) المعارض لحق المرأة في الخدمات التي تقدمها الدولة بانها فرصة للضياع فهو يقيس المُطالبات على نفسة ربما لانه منحل ومنحرف عزيزي المعارض انت وطباعك وافعالك ونواياك لست مقياسا للجميع , pos
الأنطمة المعمول بها الآن وتشترط أحيانا "ولي أمر" للراشدات وضعت في فترة لم يكن للنساء هوية وطنية مستقلة، كان كل ما يتعلق بها تعريفا وعملا وحقوقا لا يمكن أن يتم إلا عبر وليّ أمر  أما الآن فالأمر تغير. وأستغفر الله لي ولكم. #نعم_لاسقاط_الولاية #سعوديات_نطلب_اسقاط_الولايه670  , pos
ذا كان لا أقاربها ولا القاضي وولا وكيلها الشرعي يستطيع عقد أو عدم عقد نكاحها إلا بإذنها وهي فقط من تخولهم بذلك... فلم لا نعترف بكفاءتها وولايتها على نفسها من البداية. #نعم_لاسقاط_الولاية #سعوديات_نطلب_اسقاط_الولايه670 , pos
#نعم_لاسقاط_الولايه حين تذوق الفراشه طعم التحليق بحريه حين تعرف نشوه تحريك أجنحتها في الفضاء لا يعود بوسع احد إعادتها الى شرنقتها ولا إقناعها بان حالها كدوده أفضل. , pos
نعم لـ اسقاط الظلم والتسلط نعم لـ الغاء القيود والضغوط التي لا تفرض على الرجل #نعم_لاسقاط_الولايه , pos
#نعم_لاسقاط_الولايه ?#بسبب الولايه الكثير من البنات انحرموا من الدراسه وبسببها الكثير ضاعت حقوقهم وانحرموا من السفر وتحت مذله الذكر والكثير منهم محرومين من الحياه ومقبوعين خلف الجدارن الموحشه أما في دار الرعايه المرعبه أو الضيافه أي حياه من غير حريتك لا تعتبر حياه , pos
#سعوديات_نطلب_اسقاط_الولايه671 الولايه بختصار هي تسليم كل امور المرأه لأحد ذكور عائلتهافإن تنازل واعطاها بعض حقوقها فهو ( مشكور )وإن منعها من حقوقها فهو ( معذور )وهذا المنطق لا يمكن ان يرضى به الدين ولا الانسانيه ولا المنطق ولا العقل البشري السليم ولذلك #نعم_لاسقاط_الولايه , pos
نعم_لاسقاط_الولايه لايوجد بالإسلام ولايه على المرأة الا فقط عند عقد النكاح القوامة اللذين يصرون على تفسيرها بولاية امر !هي النفقة اللذي يتهربون منها ! وكلاهما ليست مرتبطة باشخاص بل ( بالأحوال ) ، محاربة التطرف يبدأ بالإعتراف بأن الولاية قانون بدعي ووضعي لا يحمي كل الأسر , pos
